month,Platform,Transaction_Type,Crypto,Wallet_Type,Status,Transaction_Count,Total_Value,Avg_Value,Avg_Fee_Pct,Total_Fees,Unique_Users,quarter,Total_Monthly_Unique_Users,Total_Quarterly_Unique_Users
2023-03,Coinbase,Transfer,Solana,Trezor,Pending,1,1596499.53,1596499.53,0.041207610001613965,65787.93,1,2023Q1,433,445
2023-03,Coinbase,Transfer,XRP,Exchange Wallet,Failed,1,36954.54,36954.54,0.04991051167190824,1844.42,1,2023Q1,433,445
2023-03,Coinbase,Withdraw,BNB,Cold Wallet,Completed,1,1880.22,1880.22,0.018715894948463475,35.19,1,2023Q1,433,445
2023-03,Coinbase,Withdraw,Bitcoin,Trezor,Completed,1,11041.87,11041.87,0.01574733265289303,173.88,1,2023Q1,433,445
2023-03,Coinbase,Withdraw,Dogecoin,Cold Wallet,Pending,1,2215020.16,2215020.16,0.04948745477783823,109615.71,1,2023Q1,433,445
2023-03,Coinbase,Withdraw,Dogecoin,Exchange Wallet,Completed,1,1136529.78,1136529.78,0.005666732287472485,6440.41,1,2023Q1,433,445
2023-03,Coinbase,Withdraw,Ethereum,Trezor,Failed,1,382409.69,382409.69,0.03726940078322806,14252.18,1,2023Q1,433,445
2023-03,Coinbase,Withdraw,Litecoin,Exchange Wallet,Pending,1,1249072.68,1249072.68,0.04467500642156388,55802.33,1,2023Q1,433,445
2023-03,Coinbase,Withdraw,Polkadot,Hot Wallet,Completed,1,406585.51,406585.51,0.04346342790228801,17671.6,1,2023Q1,433,445
2023-03,Coinbase,Withdraw,Solana,Cold Wallet,Pending,1,103608.81,103608.81,0.01602431299037215,1660.26,1,2023Q1,433,445
2023-03,Coinbase,Withdraw,Solana,Hot Wallet,Failed,1,1145558.67,1145558.67,0.049199322108923506,56360.71,1,2023Q1,433,445
2023-03,Coinbase,Withdraw,Solana,Ledger,Pending,1,175047.21,175047.21,0.034450192036765394,6030.41,1,2023Q1,433,445
2023-03,FTX,Buy,Avalanche,Ledger,Failed,1,76785.07,76785.07,0.002940806070763496,225.81,1,2023Q1,433,445
2023-03,FTX,Buy,BNB,Cold Wallet,Failed,1,2054974.16,2054974.16,0.03198634867506071,65731.12,1,2023Q1,433,445
2023-03,FTX,Buy,BNB,Ledger,Failed,1,1515031.36,1515031.36,0.0168042990212427,25459.04,1,2023Q1,433,445
2023-03,FTX,Buy,Bitcoin,Hot Wallet,Completed,1,179113.61,179113.61,0.03879001712935159,6947.82,1,2023Q1,433,445
2023-03,FTX,Buy,Cardano,Cold Wallet,Failed,1,682948.84,682948.84,0.04380856697845771,29919.01,1,2023Q1,433,445
2023-03,FTX,Buy,Cardano,Ledger,Failed,1,503246.86,503246.86,0.04779483373229591,24052.6,1,2023Q1,433,445
2023-03,FTX,Buy,Dogecoin,Cold Wallet,Completed,1,367211.76,367211.76,0.021578884074954462,7924.02,1,2023Q1,433,445
2023-03,FTX,Buy,Dogecoin,Cold Wallet,Failed,1,314770.08,314770.08,0.02591173849814442,8156.24,1,2023Q1,433,445
2023-03,FTX,Buy,Dogecoin,Cold Wallet,Pending,1,62528.44,62528.44,0.022395409193000815,1400.35,1,2023Q1,433,445
2023-03,FTX,Buy,Dogecoin,Hot Wallet,Pending,1,2927717.01,2927717.01,0.0019041765242194637,5574.89,1,2023Q1,433,445
2023-03,FTX,Buy,Dogecoin,Ledger,Completed,1,555342.1,555342.1,0.04555708994509871,25299.77,1,2023Q1,433,445
2023-03,FTX,Buy,Ethereum,Cold Wallet,Failed,1,1152578.45,1152578.45,0.030456122097372203,35103.07,1,2023Q1,433,445
2023-03,FTX,Buy,Litecoin,Cold Wallet,Pending,1,1022726.33,1022726.33,0.022030830085307377,22531.51,1,2023Q1,433,445
2023-03,FTX,Buy,Polkadot,Cold Wallet,Pending,1,1945004.49,1945004.49,0.01175301657015712,22859.67,1,2023Q1,433,445
2023-03,FTX,Buy,Solana,Cold Wallet,Completed,1,740403.26,740403.26,0.043109453623961624,31918.38,1,2023Q1,433,445
2023-03,FTX,Buy,Solana,Hot Wallet,Failed,1,72300.75,72300.75,0.0372617158189922,2694.05,1,2023Q1,433,445
2023-03,FTX,Buy,XRP,Ledger,Completed,1,2082571.89,2082571.89,0.042044541377152654,87560.78,1,2023Q1,433,445
2023-03,FTX,Sell,Avalanche,Hot Wallet,Failed,1,1302336.63,1302336.63,0.040522618180523724,52774.09,1,2023Q1,433,445
2023-03,FTX,Sell,Bitcoin,Ledger,Completed,1,1458815.38,1458815.38,0.036656482193106577,53475.04,1,2023Q1,433,445
2023-03,FTX,Sell,Bitcoin,Trezor,Failed,1,2703489.93,2703489.93,0.02692521958089927,72792.06,1,2023Q1,433,445
2023-03,FTX,Sell,Cardano,Cold Wallet,Pending,2,7914837.1,3957418.55,0.03106903826267577,246635.99,2,2023Q1,433,445
2023-03,FTX,Sell,Cardano,Exchange Wallet,Completed,1,1062800.86,1062800.86,0.04098048998567803,43554.1,1,2023Q1,433,445
2023-03,FTX,Sell,Dogecoin,Exchange Wallet,Completed,1,122754.95,122754.95,0.017559536295685022,2155.52,1,2023Q1,433,445
2023-03,FTX,Sell,Litecoin,Cold Wallet,Completed,1,1965692.51,1965692.51,0.046529668060850474,91463.02,1,2023Q1,433,445
2023-03,FTX,Sell,Polkadot,Cold Wallet,Completed,1,2984938.6,2984938.6,0.0008015240246482792,2392.5,1,2023Q1,433,445
2023-03,FTX,Stake,Avalanche,Exchange Wallet,Completed,1,23463.8,23463.8,0.04332333211159318,1016.53,1,2023Q1,433,445
2023-03,FTX,Stake,Avalanche,Trezor,Completed,1,3322168.85,3322168.85,0.0304543611622871,101174.53,1,2023Q1,433,445
2023-03,FTX,Stake,BNB,Cold Wallet,Completed,1,85538.15,85538.15,0.04816482470102522,4119.93,1,2023Q1,433,445
2023-03,FTX,Stake,Bitcoin,Ledger,Completed,1,3985759.66,3985759.66,0.014309462904243453,57034.08,1,2023Q1,433,445
2023-03,FTX,Stake,Cardano,Cold Wallet,Pending,1,715956.15,715956.15,0.007287429544393186,5217.48,1,2023Q1,433,445
2023-03,FTX,Stake,Dogecoin,Ledger,Pending,1,92277.66,92277.66,0.016086342024711073,1484.41,1,2023Q1,433,445
2023-03,FTX,Stake,Litecoin,Exchange Wallet,Completed,1,1761106.7,1761106.7,0.04365408410518227,76879.5,1,2023Q1,433,445
2023-03,FTX,Stake,Polkadot,Trezor,Failed,1,5507252.65,5507252.65,0.04348956098827243,239508.0,1,2023Q1,433,445
2023-03,FTX,Stake,Polkadot,Trezor,Pending,1,1109016.05,1109016.05,0.04361529303385645,48370.06,1,2023Q1,433,445
2023-03,FTX,Stake,XRP,Exchange Wallet,Pending,1,2546537.72,2546537.72,0.02067952482557376,52661.19,1,2023Q1,433,445
2023-03,FTX,Transfer,Bitcoin,Ledger,Completed,1,2712541.37,2712541.37,0.025074131864761196,68014.62,1,2023Q1,433,445
2023-03,FTX,Transfer,Cardano,Cold Wallet,Pending,1,2593971.59,2593971.59,0.023247027929091543,60302.13,1,2023Q1,433,445
2023-03,FTX,Transfer,Cardano,Ledger,Pending,1,476706.51,476706.51,0.04161797580653975,19839.56,1,2023Q1,433,445
2023-03,FTX,Transfer,Litecoin,Ledger,Failed,1,681294.36,681294.36,0.018387221053760082,12527.11,1,2023Q1,433,445
2023-03,FTX,Transfer,Polkadot,Ledger,Completed,1,897561.04,897561.04,0.033126772080035914,29733.3,1,2023Q1,433,445
2023-03,FTX,Transfer,Solana,Exchange Wallet,Failed,1,1288945.88,1288945.88,0.017305614103828783,22306.0,1,2023Q1,433,445
2023-03,FTX,Transfer,Solana,Trezor,Failed,1,1068041.86,1068041.86,0.03509398030522885,37481.84,1,2023Q1,433,445
2023-03,FTX,Withdraw,Avalanche,Exchange Wallet,Pending,1,533527.75,533527.75,0.04825390994189149,25744.8,1,2023Q1,433,445
2023-03,FTX,Withdraw,Avalanche,Hot Wallet,Pending,1,3634897.63,3634897.63,0.025920930818621155,94219.93,1,2023Q1,433,445
2023-03,FTX,Withdraw,BNB,Cold Wallet,Failed,1,120312.04,120312.04,0.03957459286701481,4761.3,1,2023Q1,433,445
2023-03,FTX,Withdraw,BNB,Exchange Wallet,Pending,1,14686.93,14686.93,0.04606408555089457,676.54,1,2023Q1,433,445
2023-03,FTX,Withdraw,BNB,Ledger,Failed,1,1094071.85,1094071.85,0.029027974716651375,31758.69,1,2023Q1,433,445
2023-03,FTX,Withdraw,BNB,Trezor,Pending,1,362843.91,362843.91,0.0326306151865688,11839.82,1,2023Q1,433,445
2023-03,FTX,Withdraw,Bitcoin,Hot Wallet,Pending,1,38632.53,38632.53,0.005702189320761545,220.29,1,2023Q1,433,445
2023-03,FTX,Withdraw,Cardano,Ledger,Completed,1,794895.35,794895.35,0.018338741068242504,14577.38,1,2023Q1,433,445
2023-03,FTX,Withdraw,Dogecoin,Hot Wallet,Pending,1,3419302.27,3419302.27,0.03931171899581724,134418.65,1,2023Q1,433,445
2023-03,FTX,Withdraw,Dogecoin,Trezor,Pending,1,468398.43,468398.43,0.0027317341776743357,1279.54,1,2023Q1,433,445
2023-03,FTX,Withdraw,Ethereum,Cold Wallet,Pending,1,160578.56,160578.56,0.03576504858431911,5743.1,1,2023Q1,433,445
2023-03,FTX,Withdraw,Ethereum,Hot Wallet,Failed,1,777540.81,777540.81,0.012202845018514203,9488.21,1,2023Q1,433,445
2023-03,FTX,Withdraw,Ethereum,Ledger,Pending,1,186137.58,186137.58,0.0012457452170593387,231.88,1,2023Q1,433,445
2023-03,FTX,Withdraw,Polkadot,Ledger,Failed,1,2829260.65,2829260.65,0.027746630555230037,78502.45,1,2023Q1,433,445
2023-03,FTX,Withdraw,Polkadot,Trezor,Pending,1,498592.78,498592.78,0.02689262768706759,13408.47,1,2023Q1,433,445
2023-03,FTX,Withdraw,Solana,Trezor,Failed,1,328848.95,328848.95,0.048896674293775304,16079.62,1,2023Q1,433,445
2023-03,FTX,Withdraw,XRP,Hot Wallet,Pending,1,2187968.75,2187968.75,0.04207676640719846,92062.65,1,2023Q1,433,445
2023-03,Huobi,Buy,Avalanche,Cold Wallet,Completed,1,2660283.31,2660283.31,0.022002987343479594,58534.18,1,2023Q1,433,445
2023-03,Huobi,Buy,BNB,Hot Wallet,Completed,1,1486671.47,1486671.47,0.01154215329093522,17159.39,1,2023Q1,433,445
2023-03,Huobi,Buy,BNB,Ledger,Failed,1,409606.46,409606.46,0.032796553062175826,13433.68,1,2023Q1,433,445
2023-03,Huobi,Buy,BNB,Ledger,Pending,1,855623.3,855623.3,0.03552967760461876,30400.02,1,2023Q1,433,445
2023-03,Huobi,Buy,BNB,Trezor,Completed,1,3796707.23,3796707.23,0.00034775923451964454,1320.34,1,2023Q1,433,445
2023-03,Huobi,Buy,Cardano,Exchange Wallet,Pending,1,2318201.9,2318201.9,0.04682715081891702,108554.79,1,2023Q1,433,445
2023-03,Huobi,Buy,Dogecoin,Cold Wallet,Completed,1,2909342.92,2909342.92,0.045878589657626194,133476.55,1,2023Q1,433,445
2023-03,Huobi,Buy,Dogecoin,Cold Wallet,Failed,1,447689.22,447689.22,0.0082576480175243,3696.86,1,2023Q1,433,445
2023-03,Huobi,Buy,Dogecoin,Hot Wallet,Pending,1,938570.34,938570.34,0.017270756712810677,16209.82,1,2023Q1,433,445
2023-03,Huobi,Buy,Dogecoin,Ledger,Completed,1,5230746.97,5230746.97,0.0232204235258583,121460.16,1,2023Q1,433,445
2023-03,Huobi,Buy,Ethereum,Trezor,Failed,1,1435715.24,1435715.24,0.020493764487726687,29423.21,1,2023Q1,433,445
2023-03,Huobi,Buy,Polkadot,Trezor,Completed,1,4704403.58,4704403.58,0.04289218315746627,201782.14,1,2023Q1,433,445
2023-03,Huobi,Buy,Solana,Exchange Wallet,Failed,1,233198.56,233198.56,0.011959336284066249,2788.9,1,2023Q1,433,445
